"Timestamp","FileName","FullPath","Status","Attempt","Message"
"2026-04-09 10:52:53","Aaberge and Colombino - 2013 - Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge and Colombino - 2013 - Using a Microeconometric Model of Household Labour Supply to Design Optimal Income Taxes.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:53:13","Aaberge et al. - 1995 - Labor Supply Responses and Welfare Effects of Tax Reforms.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al. - 1995 - Labor Supply Responses and Welfare Effects of Tax Reforms.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:53:33","Aaberge et al. - 1999 - Labour supply in Italy an empirical analysis of joint household decisions, with taxes and quantity.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al. - 1999 - Labour supply in Italy an empirical analysis of joint household decisions, with taxes and quantity.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:53:53","Aaberge et al_2000_Labor supply responses and welfare effects from replacing current tax rules by.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2000_Labor supply responses and welfare effects from replacing current tax rules by.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:54:13","Aaberge et al_2004_Do more equal slices shrink the cake.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2004_Do more equal slices shrink the cake.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:54:33","Aaberge et al_2009_Evaluating Alternative Representations of the Choice Sets in Models of Labor.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge et al_2009_Evaluating Alternative Representations of the Choice Sets in Models of Labor.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:54:54","Aaberge_Colombino_2006_Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2006_Designing Optimal Taxes with a Microeconometric Model of Household Labour Supply.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:55:14","Aaberge_Colombino_2011_Empirical Optimal Income Taxation.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2011_Empirical Optimal Income Taxation.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:55:34","Aaberge_Colombino_2012_Accounting for family background when designing optimal income taxes.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2012_Accounting for family background when designing optimal income taxes.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:55:54","Aaberge_Colombino_2018_Structural labour supply models and microsimulation.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Aaberge_Colombino_2018_Structural labour supply models and microsimulation.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:56:14","Audoly et al_2025_A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Audoly et al_2025_A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:56:34","Bargain et al_2010_“Making work pay” in a rationed labor market.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2010_“Making work pay” in a rationed labor market.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:56:54","Bargain et al_2013_Welfare, labor supply and heterogeneous preferences.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2013_Welfare, labor supply and heterogeneous preferences.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:57:14","Bargain et al_2014_Comparing inequality aversion across countries when labor supply responses.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2014_Comparing inequality aversion across countries when labor supply responses.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:57:34","Bargain_Doorley_2013_Putting Structure on the RD Design.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Doorley_2013_Putting Structure on the RD Design.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:57:54","Bargain_Orsini_2006_In-work policies in Europe.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Orsini_2006_In-work policies in Europe.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:58:14","Bargain_Peichl_2016_Own-wage labor supply elasticities.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Peichl_2016_Own-wage labor supply elasticities.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:58:34","Becker et al_2005_The Quantity and Quality of Life and the Evolution of World Inequality.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Becker et al_2005_The Quantity and Quality of Life and the Evolution of World Inequality.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:58:54","Beffy et al_2019_Labour supply and taxation with restricted choices.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Beffy et al_2019_Labour supply and taxation with restricted choices.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:59:14","Bhattacharya_2015_Nonparametric Welfare Analysis for Discrete Choice.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bhattacharya_2015_Nonparametric Welfare Analysis for Discrete Choice.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:59:34","Bhattacharya_2018_Empirical welfare analysis for discrete choice.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bhattacharya_2018_Empirical welfare analysis for discrete choice.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 10:59:54","Bloemen_2000_A model of labour supply with job offer restrictions.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bloemen_2000_A model of labour supply with job offer restrictions.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:00:14","Bloemen_2008_Job Search, Hours Restrictions, and Desired Hours of Work.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bloemen_2008_Job Search, Hours Restrictions, and Desired Hours of Work.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:00:34","Blomquist_Newey_2002_Nonparametric Estimation with Nonlinear Budget Sets.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blomquist_Newey_2002_Nonparametric Estimation with Nonlinear Budget Sets.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:00:54","Blundell et al_2000_The Labour Market Impact of the Working Families' Tax Credit.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blundell et al_2000_The Labour Market Impact of the Working Families' Tax Credit.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:01:14","Blundell_2006_Earned income tax credit policies.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blundell_2006_Earned income tax credit policies.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:01:34","Bourguignon et al_2007_INEQUALITY OF OPPORTUNITY IN BRAZIL.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bourguignon et al_2007_INEQUALITY OF OPPORTUNITY IN BRAZIL.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:01:54","Bourguignon_Spadaro_2006_Microsimulation as a tool for evaluating redistribution policies.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bourguignon_Spadaro_2006_Microsimulation as a tool for evaluating redistribution policies.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:02:15","Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:02:35","Capéau et al. - 2015 - Estimating and Simulating with a Random Utility Random Opportunity Model of Job ChoicePresentation a.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Capéau et al. - 2015 - Estimating and Simulating with a Random Utility Random Opportunity Model of Job ChoicePresentation a.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
"2026-04-09 11:02:55","Capéau et al_2021_Nonparametric Welfare Analysis for Discrete Choice.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Capéau et al_2021_Nonparametric Welfare Analysis for Discrete Choice.pdf","SENT","1","Print command sent to Adobe Reader using default printer settings."
